                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7961,                 4.5332,                 2.1277,                0.00139,                0.04394,                0.00196,                0.00053,                 2.8763,                  4.379,                 2.4924,              2.001e-05,              2.001e-05,              2.001e-05
                      2,                 2.8277,                 4.5806,                 2.1847,                0.00254,                 0.0619,                0.00322,                0.00114,                 2.5859,                 4.3366,                 2.3234,             4.6112e-05,             4.6112e-05,             4.6112e-05
                      3,                 2.3757,                 4.4103,                  1.895,                 0.0075,                0.17328,                0.02334,                0.00967,                 2.2439,                 4.2724,                 1.9947,             7.1554e-05,             7.1554e-05,             7.1554e-05
                      4,                 2.0317,                 4.1819,                  1.642,                0.00575,                0.19842,                0.06341,                0.02919,                 2.0129,                 4.1963,                 1.7566,             9.6336e-05,             9.6336e-05,             9.6336e-05
                      5,                 1.9078,                 4.0251,                 1.5609,                0.00662,                0.23938,                0.09768,                0.04832,                 1.7939,                 4.0873,                 1.5622,             0.00012046,             0.00012046,             0.00012046
                      6,                 1.7963,                 3.7226,                 1.4826,                0.01062,                0.33403,                0.12576,                 0.0617,                 1.6726,                 3.9667,                 1.4518,             0.00014392,             0.00014392,             0.00014392
                      7,                 1.7091,                 3.4071,                 1.3995,                 0.0138,                0.40171,                 0.1418,                0.06605,                 1.6149,                 3.8742,                 1.3878,             0.00016672,             0.00016672,             0.00016672
                      8,                 1.6584,                 3.1143,                 1.3784,                0.02177,                0.47464,                0.19569,                0.09672,                 1.5801,                 3.7493,                 1.3386,             0.00018886,             0.00018886,             0.00018886
                      9,                 1.6521,                 3.0181,                 1.3996,                0.03003,                0.55814,                0.24258,                0.12415,                 1.5639,                 3.5491,                 1.2925,             0.00021034,             0.00021034,             0.00021034
                     10,                 1.6636,                 2.7398,                 1.3775,                0.03086,                0.61991,                0.27379,                0.13738,                 1.5812,                  3.388,                 1.2998,             0.00023116,             0.00023116,             0.00023116
                     11,                 1.6418,                 2.5103,                 1.3844,                0.85488,                0.13473,                0.30339,                0.14071,                 1.6125,                 3.3427,                 1.3317,             0.00025132,             0.00025132,             0.00025132
                     12,                 1.6249,                 2.3792,                 1.3253,                0.91952,                0.14068,                0.35365,                0.16376,                 1.6184,                 3.2603,                 1.3291,             0.00027082,             0.00027082,             0.00027082
                     13,                 1.5587,                 2.2813,                 1.3164,                0.91148,                0.13897,                0.39988,                0.19781,                 1.5679,                 3.2004,                 1.2832,             0.00028965,             0.00028965,             0.00028965
                     14,                 1.6034,                 2.2485,                 1.3356,                0.96801,                0.12114,                0.41655,                0.21066,                 1.5641,                 3.1633,                 1.2925,             0.00030783,             0.00030783,             0.00030783
                     15,                 1.5759,                 2.0976,                 1.2992,                0.88444,                 0.1356,                0.40482,                0.19425,                 1.5984,                 3.0292,                 1.3279,             0.00032535,             0.00032535,             0.00032535
                     16,                 1.5122,                 2.0532,                 1.2374,                0.86443,                0.18504,                0.42779,                0.18683,                 1.6907,                 2.9359,                 1.3903,             0.00034221,             0.00034221,             0.00034221
                     17,                 1.5481,                 2.0398,                 1.2993,                0.84944,                0.24503,                0.45433,                0.20339,                 1.6948,                 2.8585,                 1.4146,             0.00035841,             0.00035841,             0.00035841
                     18,                 1.5511,                 1.8864,                 1.2633,                 0.8179,                0.24804,                 0.4545,                0.21788,                  1.636,                 2.7864,                 1.3581,             0.00037394,             0.00037394,             0.00037394
                     19,                 1.5623,                 1.8828,                 1.2814,                0.84029,                0.29581,                0.53918,                0.26274,                 1.6073,                 2.7387,                 1.3353,             0.00038882,             0.00038882,             0.00038882
                     20,                 1.5445,                 1.8119,                 1.2649,                0.77695,                0.38827,                0.56592,                0.28002,                 1.6422,                 2.6199,                 1.3415,             0.00040304,             0.00040304,             0.00040304
                     21,                 1.5572,                 1.7491,                 1.2485,                0.73819,                0.40878,                0.57567,                0.28067,                 1.6715,                 2.5439,                 1.3744,             0.00041659,             0.00041659,             0.00041659
                     22,                 1.5387,                 1.8648,                 1.2836,                0.74941,                0.36118,                0.56118,                0.24807,                 1.7481,                  2.546,                 1.4382,             0.00042949,             0.00042949,             0.00042949
                     23,                 1.5678,                 1.8168,                 1.3087,                 0.7367,                0.29546,                0.53002,                0.24438,                  1.721,                 2.5458,                 1.4033,             0.00044172,             0.00044172,             0.00044172
                     24,                 1.5783,                  1.759,                  1.272,                0.71187,                0.33662,                0.53504,                0.26261,                 1.6551,                 2.4795,                 1.3665,              0.0004533,              0.0004533,              0.0004533
                     25,                 1.6018,                 1.7125,                 1.3257,                0.70405,                0.39204,                0.62158,                0.31325,                 1.5993,                 2.3997,                 1.3284,             0.00046421,             0.00046421,             0.00046421
                     26,                 1.5231,                 1.6422,                 1.2631,                0.73617,                0.56528,                0.66842,                0.33264,                  1.569,                  2.259,                 1.3009,             0.00046065,             0.00046065,             0.00046065
                     27,                 1.5664,                 1.6394,                  1.256,                0.73555,                0.59441,                0.71197,                0.34638,                 1.5735,                 2.0326,                 1.3129,             0.00045239,             0.00045239,             0.00045239
                     28,                 1.4709,                 1.5258,                 1.2244,                0.72377,                0.66449,                0.75077,                0.35351,                 1.6235,                 1.8953,                 1.3379,             0.00044414,             0.00044414,             0.00044414
                     29,                 1.4649,                 1.5635,                 1.1984,                0.72377,                0.66449,                0.75077,                0.35351,                 1.6235,                 1.8953,                 1.3379,             0.00043588,             0.00043588,             0.00043588
                     30,                 1.4839,                 1.6694,                 1.2692,                0.64563,                0.73469,                0.74564,                0.34047,                 1.6975,                 1.9158,                 1.4083,             0.00042763,             0.00042763,             0.00042763
                     31,                 1.4545,                  1.523,                 1.2095,                0.71856,                0.68248,                0.77011,                0.34193,                 1.6764,                 1.8508,                 1.3893,             0.00041938,             0.00041938,             0.00041938
                     32,                 1.4694,                  1.609,                 1.2654,                0.79827,                0.64593,                0.75212,                0.36219,                 1.6168,                 1.8449,                 1.3498,             0.00041112,             0.00041112,             0.00041112
                     33,                 1.4742,                  1.503,                 1.2362,                0.78224,                 0.6212,                0.74631,                0.35833,                 1.6114,                 1.8699,                   1.33,             0.00040287,             0.00040287,             0.00040287
                     34,                 1.4799,                 1.5321,                 1.2138,                0.78224,                 0.6212,                0.74631,                0.35833,                 1.6114,                 1.8699,                   1.33,             0.00039461,             0.00039461,             0.00039461
                     35,                 1.4248,                 1.4503,                 1.2301,                0.77798,                0.61011,                0.73698,                0.36393,                 1.5999,                 1.8971,                 1.3315,             0.00038636,             0.00038636,             0.00038636
                     36,                 1.4382,                  1.465,                 1.1824,                0.79009,                 0.6242,                0.74723,                0.36891,                 1.5881,                 1.8349,                  1.326,             0.00037811,             0.00037811,             0.00037811
                     37,                 1.4608,                 1.4979,                 1.2523,                 0.8379,                 0.6314,                0.79355,                0.39854,                 1.5883,                 1.6989,                 1.3169,             0.00036985,             0.00036985,             0.00036985
                     38,                 1.4875,                 1.5197,                 1.2759,                0.80853,                0.66205,                0.80485,                0.41402,                  1.623,                 1.6522,                 1.3341,              0.0003616,              0.0003616,              0.0003616
                     39,                  1.436,                 1.4255,                 1.2263,                0.80853,                0.66205,                0.80485,                0.41402,                  1.623,                 1.6522,                 1.3341,             0.00035334,             0.00035334,             0.00035334
                     40,                  1.399,                 1.4078,                 1.2055,                0.79194,                 0.6984,                0.80652,                0.39496,                 1.6699,                 1.6719,                 1.3561,             0.00034509,             0.00034509,             0.00034509
                     41,                 1.4332,                 1.4327,                 1.2215,                0.74666,                0.72396,                0.81264,                0.38582,                 1.7017,                  1.642,                 1.3762,             0.00033683,             0.00033683,             0.00033683
                     42,                 1.4147,                 1.4461,                 1.2027,                0.71957,                0.75959,                0.80909,                0.39038,                  1.688,                  1.609,                 1.3709,             0.00032858,             0.00032858,             0.00032858
                     43,                  1.441,                  1.364,                 1.2266,                0.77142,                0.74737,                0.83048,                 0.4079,                 1.6587,                 1.5383,                 1.3478,             0.00032033,             0.00032033,             0.00032033
                     44,                 1.4331,                 1.3661,                 1.2096,                0.77142,                0.74737,                0.83048,                 0.4079,                 1.6587,                 1.5383,                 1.3478,             0.00031207,             0.00031207,             0.00031207
                     45,                 1.3907,                 1.3903,                 1.1958,                0.75033,                0.78194,                0.82523,                0.41492,                 1.6352,                 1.5368,                 1.3357,             0.00030382,             0.00030382,             0.00030382
                     46,                 1.4051,                 1.3795,                 1.2175,                0.74734,                0.78899,                0.82627,                 0.4218,                 1.6184,                 1.5014,                 1.3245,             0.00029556,             0.00029556,             0.00029556
                     47,                 1.3892,                 1.3405,                 1.2007,                0.77901,                0.75752,                0.84401,                0.42637,                 1.6239,                 1.4681,                 1.3208,             0.00028731,             0.00028731,             0.00028731
                     48,                 1.3678,                 1.3398,                  1.196,                0.79284,                0.71582,                0.84831,                0.42546,                 1.6442,                 1.4724,                 1.3085,             0.00027906,             0.00027906,             0.00027906
                     49,                 1.3674,                 1.3109,                 1.1665,                0.79284,                0.71582,                0.84831,                0.42546,                 1.6442,                 1.4724,                 1.3085,              0.0002708,              0.0002708,              0.0002708
                     50,                 1.3907,                 1.3139,                 1.2102,                0.83944,                0.71757,                0.85836,                0.42531,                 1.6704,                 1.4926,                 1.3032,             0.00026255,             0.00026255,             0.00026255
                     51,                 1.4202,                 1.3694,                 1.2322,                0.81491,                0.75733,                0.87135,                0.42962,                 1.6673,                 1.4613,                 1.2949,             0.00025429,             0.00025429,             0.00025429
                     52,                 1.4245,                 1.3765,                 1.2273,                0.81049,                0.80245,                0.88333,                0.45046,                 1.6412,                 1.4081,                 1.2868,             0.00024604,             0.00024604,             0.00024604
                     53,                 1.3806,                 1.2895,                 1.1838,                0.81657,                 0.8454,                0.88943,                0.45945,                 1.6118,                 1.3684,                  1.274,             0.00023779,             0.00023779,             0.00023779
                     54,                 1.3587,                 1.2986,                 1.1934,                0.81657,                 0.8454,                0.88943,                0.45945,                 1.6118,                 1.3684,                  1.274,             0.00022953,             0.00022953,             0.00022953
                     55,                 1.3703,                 1.3124,                 1.1677,                0.82868,                0.85511,                0.89834,                0.45807,                 1.6083,                 1.3544,                 1.2725,             0.00022128,             0.00022128,             0.00022128
                     56,                  1.387,                 1.2559,                 1.1865,                0.85487,                0.83687,                0.90208,                0.46208,                 1.6068,                 1.3254,                 1.2713,             0.00021302,             0.00021302,             0.00021302
                     57,                 1.3684,                 1.2858,                 1.1892,                0.85137,                0.85761,                0.91059,                0.46415,                 1.6054,                 1.3117,                 1.2737,             0.00020477,             0.00020477,             0.00020477
                     58,                  1.349,                 1.2528,                 1.1874,                0.85561,                0.84967,                0.90624,                0.46271,                 1.6179,                 1.2958,                 1.2713,             0.00019651,             0.00019651,             0.00019651
                     59,                 1.3435,                 1.2288,                 1.1797,                0.85561,                0.84967,                0.90624,                0.46271,                 1.6179,                 1.2958,                 1.2713,             0.00018826,             0.00018826,             0.00018826
                     60,                 1.3716,                  1.269,                 1.1744,                0.86825,                0.83577,                0.90811,                0.45862,                 1.6442,                 1.2976,                 1.2875,             0.00018001,             0.00018001,             0.00018001
                     61,                 1.3601,                 1.2307,                 1.1684,                0.87402,                0.83607,                0.90705,                0.45021,                 1.6616,                 1.3162,                 1.3021,             0.00017175,             0.00017175,             0.00017175
                     62,                 1.3401,                 1.2285,                  1.188,                0.85934,                0.82473,                0.90472,                0.45606,                  1.671,                 1.3124,                 1.3082,              0.0001635,              0.0001635,              0.0001635
                     63,                 1.3596,                  1.272,                 1.1875,                0.88774,                0.80566,                0.90376,                0.46577,                 1.6568,                 1.2982,                 1.3056,             0.00015524,             0.00015524,             0.00015524
                     64,                 1.3392,                 1.2305,                 1.1699,                0.88774,                0.80566,                0.90376,                0.46577,                 1.6568,                 1.2982,                 1.3056,             0.00014699,             0.00014699,             0.00014699
                     65,                 1.3373,                 1.2582,                 1.1919,                0.88399,                0.79109,                0.89694,                0.46557,                 1.6477,                 1.2864,                 1.2997,             0.00013874,             0.00013874,             0.00013874
                     66,                 1.2979,                  1.204,                 1.1668,                0.85713,                0.81976,                0.89868,                0.46598,                  1.633,                 1.2857,                 1.2924,             0.00013048,             0.00013048,             0.00013048
                     67,                 1.3102,                 1.2302,                  1.183,                0.86402,                0.85134,                0.90433,                 0.4656,                 1.6238,                  1.282,                 1.2836,             0.00012223,             0.00012223,             0.00012223
                     68,                 1.2813,                 1.1879,                 1.1686,                0.87632,                0.86899,                0.90916,                0.46974,                 1.6155,                 1.2758,                 1.2814,             0.00011397,             0.00011397,             0.00011397
                     69,                 1.3212,                 1.1339,                 1.1361,                0.87632,                0.86899,                0.90916,                0.46974,                 1.6155,                 1.2758,                 1.2814,             0.00010572,             0.00010572,             0.00010572
                     70,                 1.3262,                 1.1911,                  1.166,                0.88502,                0.83952,                 0.9103,                0.47244,                 1.6128,                 1.2607,                 1.2764,             9.7465e-05,             9.7465e-05,             9.7465e-05
                     71,                 1.3322,                 1.4091,                 1.2223,                0.88683,                 0.8489,                0.91256,                0.47561,                 1.6052,                 1.2523,                 1.2725,             8.9211e-05,             8.9211e-05,             8.9211e-05
                     72,                 1.3245,                 1.3752,                 1.2491,                0.86661,                0.86813,                0.90648,                0.47399,                 1.6062,                 1.2578,                 1.2773,             8.0957e-05,             8.0957e-05,             8.0957e-05
                     73,                 1.3196,                 1.3606,                 1.2327,                 0.8718,                0.88721,                0.90885,                0.47509,                 1.6106,                 1.2728,                 1.2859,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     74,                 1.3018,                 1.3621,                 1.1917,                 0.8718,                0.88721,                0.90885,                0.47509,                 1.6106,                 1.2728,                 1.2859,             6.4449e-05,             6.4449e-05,             6.4449e-05
