                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5852,                 1.6859,                 1.3548,                0.67513,                0.56511,                0.69803,                0.34231,                 1.7152,                 2.0947,                 1.5148,             0.00036977,             0.00036977,             0.00036977
                     35,                 1.5637,                 1.6863,                 1.3547,                0.68546,                0.58309,                0.70509,                0.34723,                 1.7197,                 2.0716,                 1.5136,             0.00036203,             0.00036203,             0.00036203
                     36,                 1.5665,                 1.6708,                 1.3433,                0.66815,                0.58729,                0.70553,                0.34674,                   1.71,                 2.0505,                 1.5068,              0.0003543,              0.0003543,              0.0003543
                     37,                 1.5716,                  1.723,                 1.3631,                0.69059,                0.61069,                0.69878,                0.34332,                 1.7231,                 1.9775,                 1.5196,             0.00034656,             0.00034656,             0.00034656
                     38,                 1.5893,                 1.7312,                 1.3794,                0.68395,                0.58451,                  0.642,                0.31385,                 1.7926,                 2.0972,                 1.5789,             0.00033883,             0.00033883,             0.00033883
                     39,                 1.5812,                 1.6642,                 1.3547,                0.68395,                0.58451,                  0.642,                0.31385,                 1.7926,                 2.0972,                 1.5789,             0.00033109,             0.00033109,             0.00033109
                     40,                 1.5266,                 1.7025,                 1.3484,                0.65591,                 0.6225,                0.68435,                 0.3254,                 1.7812,                 2.0347,                 1.5521,             0.00032336,             0.00032336,             0.00032336
                     41,                  1.571,                 1.7018,                 1.3688,                0.71588,                0.65367,                0.71695,                0.33443,                 1.7686,                 1.9581,                 1.5381,             0.00031562,             0.00031562,             0.00031562
                     42,                 1.5093,                 1.6398,                  1.337,                0.70769,                0.66477,                0.72121,                0.34932,                 1.7386,                 1.8813,                 1.5185,             0.00030789,             0.00030789,             0.00030789
                     43,                 1.5545,                 1.6696,                 1.3697,                0.71869,                0.65072,                0.73177,                 0.3502,                  1.725,                 1.8443,                 1.5212,             0.00030016,             0.00030016,             0.00030016
                     44,                 1.5627,                  1.626,                 1.3671,                0.71869,                0.65072,                0.73177,                 0.3502,                  1.725,                 1.8443,                 1.5212,             0.00029242,             0.00029242,             0.00029242
                     45,                 1.4951,                 1.6376,                 1.3588,                0.71018,                0.58822,                0.67224,                0.32781,                 1.7511,                 1.9621,                  1.569,             0.00028469,             0.00028469,             0.00028469
                     46,                 1.5179,                 1.6728,                 1.3413,                0.66134,                0.58969,                0.66538,                0.31924,                 1.7419,                  2.013,                 1.5792,             0.00027695,             0.00027695,             0.00027695
                     47,                 1.5428,                 1.5943,                 1.3339,                0.80293,                0.58101,                0.72814,                0.35397,                 1.6927,                  1.852,                  1.532,             0.00026922,             0.00026922,             0.00026922
                     48,                 1.4826,                 1.6577,                 1.3378,                0.83602,                0.66493,                 0.7648,                0.38762,                 1.6449,                 1.6649,                 1.4912,             0.00026148,             0.00026148,             0.00026148
                     49,                 1.5451,                 1.6147,                 1.3319,                0.83602,                0.66493,                 0.7648,                0.38762,                 1.6449,                 1.6649,                 1.4912,             0.00025375,             0.00025375,             0.00025375
                     50,                 1.5154,                 1.5697,                 1.3462,                  0.837,                 0.7125,                0.80352,                0.39179,                 1.6123,                 1.5896,                 1.4551,             0.00024602,             0.00024602,             0.00024602
                     51,                 1.5278,                 1.6255,                 1.3833,                0.81782,                0.73691,                0.80722,                0.40162,                  1.604,                 1.5543,                 1.4232,             0.00023828,             0.00023828,             0.00023828
                     52,                 1.5622,                 1.5982,                 1.3537,                0.81232,                0.76018,                0.81148,                  0.403,                 1.5886,                 1.5441,                 1.4107,             0.00023055,             0.00023055,             0.00023055
                     53,                 1.5091,                 1.5287,                 1.2924,                0.80371,                 0.7579,                 0.8003,                0.40868,                 1.5792,                 1.5398,                 1.4082,             0.00022281,             0.00022281,             0.00022281
                     54,                 1.4897,                 1.5789,                 1.3244,                0.80371,                 0.7579,                 0.8003,                0.40868,                 1.5792,                 1.5398,                 1.4082,             0.00021508,             0.00021508,             0.00021508
                     55,                 1.4789,                 1.5451,                  1.276,                0.79192,                0.75192,                 0.8008,                0.39684,                 1.5975,                  1.564,                 1.4142,             0.00020734,             0.00020734,             0.00020734
