                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8757,                 8.9996,                 2.5165,                0.02801,                0.09452,                0.02336,                0.00693,                 2.4015,                 17.665,                  2.209,             0.00015341,             0.00015341,             0.00015341
                      2,                 2.0704,                 4.0355,                 1.9029,                0.34626,                 0.2845,                0.19097,                0.06908,                 2.0527,                 4.5749,                 1.7609,             0.00031348,             0.00031348,             0.00031348
                      3,                 1.8122,                 3.2292,                 1.6665,                 0.3024,                0.49811,                0.34758,                0.14053,                 1.9825,                 4.7536,                 1.5896,             0.00047352,             0.00047352,             0.00047352
                      4,                 1.7882,                 2.9027,                 1.6247,                0.50917,                0.40663,                0.35619,                0.15238,                  1.912,                 3.0303,                 1.5376,              0.0006335,              0.0006335,              0.0006335
                      5,                 1.7455,                 2.7383,                  1.618,                0.64276,                0.42433,                0.47739,                0.16589,                 2.3188,                 2.5381,                 1.6728,             0.00066671,             0.00066671,             0.00066671
                      6,                 1.7441,                 2.4584,                 1.5686,                  0.398,                0.63304,                0.52859,                0.19954,                 2.1001,                 2.2955,                 1.6008,             0.00066655,             0.00066655,             0.00066655
                      7,                 1.7165,                 2.3194,                 1.5686,                0.55118,                0.65972,                0.62257,                0.24622,                 1.9971,                 2.1659,                 1.5789,             0.00066635,             0.00066635,             0.00066635
                      8,                 1.7395,                 2.2607,                 1.5824,                0.57058,                0.54484,                0.60167,                0.24117,                 2.0903,                 2.0349,                 1.6064,             0.00066611,             0.00066611,             0.00066611
                      9,                 1.7164,                 2.1821,                  1.602,                0.73382,                0.70042,                0.76631,                 0.3293,                 1.8995,                 1.9158,                 1.5326,             0.00066584,             0.00066584,             0.00066584
                     10,                 1.6721,                 2.0118,                 1.5539,                 0.7291,                0.68758,                0.78089,                0.29843,                 2.0296,                 1.8056,                 1.5849,             0.00066553,             0.00066553,             0.00066553
                     11,                 1.6478,                 1.9113,                 1.5261,                0.73376,                0.70521,                0.78722,                0.33383,                 1.9405,                 1.4538,                 1.5167,             0.00066519,             0.00066519,             0.00066519
