                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0529,                 4.6533,                 2.4017,                0.00086,                0.00826,                0.00049,                 0.0001,                 2.7611,                  4.507,                 2.5355,              3.125e-05,              3.125e-05,              3.125e-05
                      2,                 2.8069,                 4.5679,                 2.2833,                0.00453,                0.04005,                0.00539,                0.00139,                 2.4952,                 4.4302,                 2.3216,             6.7899e-05,             6.7899e-05,             6.7899e-05
                      3,                 2.6016,                 4.4843,                 2.1241,                0.00835,                0.13509,                0.05984,                 0.0213,                 2.2305,                 4.3206,                 2.0883,             0.00010362,             0.00010362,             0.00010362
                      4,                 2.1222,                 4.1678,                 1.8203,                0.00805,                0.20888,                0.13225,                0.05404,                 1.9527,                 4.2036,                 1.8089,             0.00013841,             0.00013841,             0.00013841
                      5,                 2.0792,                 3.8978,                 1.7449,                0.01002,                0.28521,                 0.1415,                0.06598,                 1.7803,                 4.0883,                 1.6425,             0.00017228,             0.00017228,             0.00017228
                      6,                 1.9298,                  3.604,                 1.6534,                0.01345,                0.35175,                 0.1431,                0.07935,                 1.6677,                  3.944,                 1.5571,             0.00020521,             0.00020521,             0.00020521
                      7,                 1.8748,                 3.2623,                 1.6101,                0.01629,                 0.4093,                0.16185,                0.08551,                 1.6663,                 3.7698,                 1.5201,             0.00023722,             0.00023722,             0.00023722
                      8,                 1.8616,                 2.9889,                 1.5548,                0.02344,                0.54401,                0.23127,                 0.1168,                 1.6689,                 3.5917,                 1.5032,              0.0002683,              0.0002683,              0.0002683
                      9,                   1.88,                 2.9558,                  1.587,                0.89034,                0.09983,                0.28631,                0.14351,                 1.6605,                 3.3775,                 1.4603,             0.00029846,             0.00029846,             0.00029846
                     10,                 1.8758,                 2.7867,                  1.648,                0.92508,                0.14072,                0.34194,                 0.1698,                 1.6566,                 3.2929,                 1.4888,             0.00032768,             0.00032768,             0.00032768
                     11,                 1.8301,                 2.6984,                 1.5709,                0.92268,                0.15459,                 0.3614,                0.18576,                 1.6436,                  3.246,                 1.4796,             0.00035598,             0.00035598,             0.00035598
                     12,                 1.8132,                 2.5932,                 1.5553,                0.80229,                0.22101,                0.41024,                0.19932,                  1.608,                 3.0323,                 1.4609,             0.00038334,             0.00038334,             0.00038334
                     13,                 1.7729,                 2.4997,                 1.5402,                0.72915,                0.26658,                0.44266,                0.20377,                 1.6364,                 2.8762,                 1.4847,             0.00040978,             0.00040978,             0.00040978
                     14,                 1.7217,                   2.35,                 1.5511,                0.65252,                0.29918,                0.45501,                0.21097,                 1.6578,                 2.7816,                 1.5251,              0.0004353,              0.0004353,              0.0004353
                     15,                 1.7576,                 2.3409,                 1.5127,                0.65502,                0.33403,                0.48659,                0.23448,                 1.6681,                 2.7063,                 1.5252,             0.00045988,             0.00045988,             0.00045988
                     16,                 1.6852,                 2.2105,                 1.4511,                0.67107,                0.35399,                0.53025,                0.25508,                 1.6587,                 2.6218,                 1.5176,             0.00048354,             0.00048354,             0.00048354
