                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8348,                 4.7158,                  2.465,                0.00796,                0.12154,                0.00681,                0.00174,                 2.4789,                 4.1871,                  2.093,              9.338e-05,              9.338e-05,              9.338e-05
                      2,                 2.1206,                 4.3049,                 1.9468,                0.02646,                0.42876,                0.05605,                 0.0164,                 2.0283,                 4.0427,                  1.682,             0.00019343,             0.00019343,             0.00019343
                      3,                 1.9729,                 3.8323,                 1.7734,                0.03335,                0.58744,                0.15273,                0.05145,                 1.8678,                 3.8129,                 1.5389,             0.00029348,             0.00029348,             0.00029348
                      4,                  1.915,                 3.4934,                  1.736,                0.19017,                0.39982,                0.20457,                0.07897,                 1.7654,                 3.4167,                 1.4894,             0.00039353,             0.00039353,             0.00039353
                      5,                 1.8111,                   3.18,                 1.6503,                0.62628,                0.10903,                0.22685,                0.08139,                 1.8933,                 3.2044,                 1.5588,             0.00049358,             0.00049358,             0.00049358
                      6,                 1.7482,                 2.9055,                 1.6029,                0.51464,                0.29072,                0.31738,                0.11647,                 1.9689,                 2.8223,                 1.5714,             0.00059363,             0.00059363,             0.00059363
                      7,                 1.7819,                 2.7953,                 1.6435,                0.48752,                0.41479,                0.36194,                 0.1456,                 1.8772,                 2.5954,                 1.5173,             0.00066699,             0.00066699,             0.00066699
                      8,                 1.7908,                 2.7431,                 1.5975,                0.46841,                0.44295,                0.42848,                0.16587,                   1.98,                 2.4465,                 1.6028,             0.00066699,             0.00066699,             0.00066699
                      9,                 1.7649,                 2.6842,                 1.6366,                0.47288,                0.57697,                0.54622,                0.23138,                 1.9347,                 2.3711,                 1.5546,             0.00066699,             0.00066699,             0.00066699
                     10,                 1.7119,                 2.5955,                 1.5786,                0.51862,                0.56556,                0.58368,                0.24836,                 1.8446,                 2.1589,                 1.5215,             0.00066699,             0.00066699,             0.00066699
                     11,                  1.686,                 2.4539,                 1.5732,                0.57259,                0.57554,                0.63978,                0.26045,                 1.9303,                  2.056,                 1.5141,             0.00066698,             0.00066698,             0.00066698
                     12,                 1.6881,                 2.3393,                 1.5378,                0.62404,                 0.6353,                0.69404,                0.29803,                 1.8505,                 1.8769,                 1.4673,             0.00066698,             0.00066698,             0.00066698
