                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8348,                 4.7158,                  2.465,                0.00796,                0.12154,                0.00681,                0.00174,                 2.4789,                 4.1871,                  2.093,              9.338e-05,              9.338e-05,              9.338e-05
                      2,                 2.1217,                 4.3054,                 1.9475,                0.02654,                0.41755,                0.05765,                0.01682,                 2.0349,                 4.0466,                 1.6887,             0.00019342,             0.00019342,             0.00019342
                      3,                 1.9711,                 3.8279,                 1.7765,                0.03655,                0.59166,                0.15597,                0.05539,                 1.8578,                 3.8063,                 1.5397,             0.00029345,             0.00029345,             0.00029345
                      4,                 1.9232,                  3.497,                 1.7475,                0.57537,                 0.1224,                0.20765,                0.08462,                  1.789,                 3.3622,                 1.5015,             0.00039343,             0.00039343,             0.00039343
                      5,                 1.8178,                 3.1844,                 1.6543,                0.54994,                0.13674,                0.22401,                0.08296,                 1.9097,                 3.1495,                 1.5762,             0.00049337,             0.00049337,             0.00049337
                      6,                 1.7517,                 2.9191,                  1.612,                0.38787,                0.29546,                0.28991,                 0.1027,                 1.9982,                 2.8427,                 1.6212,             0.00059323,             0.00059323,             0.00059323
                      7,                 1.7856,                 2.7983,                  1.665,                0.43883,                0.31747,                0.32871,                0.12816,                 1.8983,                 2.6559,                 1.5858,             0.00066635,             0.00066635,             0.00066635
                      8,                 1.7711,                  2.723,                 1.6026,                0.44426,                0.35797,                  0.358,                0.12878,                  2.071,                 2.5622,                  1.612,             0.00066611,             0.00066611,             0.00066611
                      9,                 1.7862,                 2.6563,                 1.6561,                0.47813,                0.57187,                0.53265,                0.21217,                 2.0064,                 2.3654,                 1.5955,             0.00066584,             0.00066584,             0.00066584
                     10,                 1.7255,                 2.5821,                 1.5908,                0.43719,                0.55955,                0.51814,                0.21559,                 1.8756,                 2.2928,                 1.5369,             0.00066553,             0.00066553,             0.00066553
                     11,                 1.6856,                 2.4773,                  1.576,                0.59018,                0.59194,                0.66041,                0.27227,                 1.8641,                 2.0919,                 1.5153,             0.00066519,             0.00066519,             0.00066519
                     12,                 1.6749,                 2.3355,                 1.5415,                0.59211,                0.61821,                0.67035,                0.29082,                 1.8618,                 1.9434,                 1.5009,             0.00066481,             0.00066481,             0.00066481
                     13,                 1.6736,                 2.3219,                 1.5246,                  0.589,                0.67132,                0.69233,                0.30375,                 1.8713,                 1.8996,                 1.5346,              0.0006644,              0.0006644,              0.0006644
                     14,                 1.6626,                 2.2235,                 1.5055,                0.69958,                0.69106,                0.74152,                0.32804,                 1.8703,                 1.8426,                 1.5236,             0.00066395,             0.00066395,             0.00066395
                     15,                 1.6728,                 2.1982,                 1.5118,                0.57868,                0.69788,                0.67503,                 0.2796,                 1.9662,                 1.9577,                 1.5467,             0.00066346,             0.00066346,             0.00066346
                     16,                 1.6799,                 2.2348,                 1.5395,                0.66664,                0.69693,                0.74578,                0.30415,                 1.9082,                 1.8911,                 1.5059,             0.00066294,             0.00066294,             0.00066294
                     17,                 1.6418,                  2.144,                 1.5125,                0.68143,                0.75038,                0.77222,                0.31335,                 1.9409,                 1.7726,                 1.5194,             0.00066238,             0.00066238,             0.00066238
                     18,                 1.6868,                 2.1005,                 1.5349,                0.67205,                0.76225,                0.78125,                  0.359,                 1.7484,                 1.7214,                 1.4732,             0.00066178,             0.00066178,             0.00066178
                     19,                 1.6643,                 2.0856,                 1.5235,                0.62887,                 0.7495,                0.75183,                0.31082,                 1.8664,                 1.7561,                 1.5253,             0.00066115,             0.00066115,             0.00066115
                     20,                 1.6765,                 2.1416,                 1.5638,                0.73806,                0.76077,                0.79886,                0.34683,                  1.895,                 1.5793,                   1.52,             0.00066049,             0.00066049,             0.00066049
                     21,                 1.5976,                 1.9535,                 1.4755,                0.77047,                 0.7523,                0.80107,                0.36946,                   1.78,                 1.5033,                 1.4694,             0.00065979,             0.00065979,             0.00065979
                     22,                 1.6176,                 1.8952,                 1.4804,                0.78949,                0.78014,                0.82982,                0.37092,                 1.8371,                 1.4854,                 1.5058,             0.00065905,             0.00065905,             0.00065905
                     23,                 1.6676,                  2.019,                 1.5444,                0.77402,                0.78329,                0.81439,                0.32791,                 1.9372,                 1.5554,                 1.5539,             0.00065828,             0.00065828,             0.00065828
                     24,                 1.6059,                 1.8842,                 1.4873,                0.72808,                0.81252,                0.81486,                0.35073,                 1.8458,                 1.5523,                  1.483,             0.00065747,             0.00065747,             0.00065747
                     25,                 1.6299,                 1.9118,                 1.4942,                0.79717,                0.84545,                 0.8441,                0.37092,                 1.8424,                 1.3983,                 1.4806,             0.00065663,             0.00065663,             0.00065663
                     26,                 1.5867,                 1.8109,                 1.4682,                0.77583,                0.81831,                0.83192,                0.38901,                  1.805,                   1.38,                 1.4689,             0.00065575,             0.00065575,             0.00065575
                     27,                 1.5918,                 1.8282,                 1.4544,                0.82329,                0.80165,                0.85102,                0.37564,                 1.8581,                 1.3969,                 1.4887,             0.00065484,             0.00065484,             0.00065484
                     28,                 1.6108,                 1.8375,                 1.4693,                0.75843,                0.84846,                0.86537,                0.39119,                 1.7883,                 1.4257,                 1.4605,             0.00065389,             0.00065389,             0.00065389
                     29,                  1.616,                 1.7784,                 1.4778,                0.80375,                0.83795,                0.87535,                0.40827,                 1.7333,                 1.3722,                 1.4316,             0.00065291,             0.00065291,             0.00065291
                     30,                 1.6173,                 1.7812,                 1.4592,                0.84238,                0.83855,                 0.8674,                0.39773,                 1.8098,                 1.3206,                 1.4644,             0.00065189,             0.00065189,             0.00065189
                     31,                 1.6316,                 1.7367,                 1.4734,                0.83469,                0.83271,                0.84574,                0.36661,                 1.9126,                 1.3608,                 1.5404,             0.00065084,             0.00065084,             0.00065084
                     32,                 1.5765,                 1.6802,                 1.4423,                0.83461,                0.83227,                0.86065,                0.38919,                 1.8216,                 1.3481,                 1.4934,             0.00064975,             0.00064975,             0.00064975
                     33,                 1.5866,                 1.7192,                 1.4367,                0.83144,                0.83229,                0.86737,                0.38418,                 1.8413,                 1.3446,                 1.4846,             0.00064864,             0.00064864,             0.00064864
                     34,                 1.6132,                 1.6683,                 1.4714,                0.81026,                0.83372,                0.84717,                 0.3672,                  1.957,                 1.3849,                 1.5474,             0.00064748,             0.00064748,             0.00064748
                     35,                 1.5855,                 1.6853,                 1.4404,                0.86627,                0.83674,                0.88274,                0.41188,                 1.7827,                 1.3037,                 1.4583,             0.00064629,             0.00064629,             0.00064629
                     36,                  1.539,                 1.6152,                 1.4178,                0.89194,                0.86114,                0.89905,                0.40678,                 1.7909,                 1.2567,                  1.449,             0.00064507,             0.00064507,             0.00064507
                     37,                 1.5697,                 1.6229,                 1.4119,                0.85928,                0.88148,                0.90069,                0.42447,                 1.7309,                 1.2287,                 1.4131,             0.00064381,             0.00064381,             0.00064381
                     38,                 1.5335,                 1.6218,                 1.4134,                 0.8371,                0.86037,                0.87797,                0.40446,                 1.7786,                 1.2557,                 1.4319,             0.00064253,             0.00064253,             0.00064253
                     39,                 1.5923,                 1.6373,                 1.4236,                0.85326,                0.85942,                0.88229,                0.39433,                 1.8354,                 1.2593,                 1.4591,              0.0006412,              0.0006412,              0.0006412
                     40,                 1.5351,                 1.5326,                 1.3941,                0.87556,                0.87949,                0.88829,                0.39445,                 1.8101,                  1.234,                 1.4463,             0.00063985,             0.00063985,             0.00063985
                     41,                 1.5699,                 1.5756,                 1.4112,                0.86913,                  0.859,                0.88281,                0.38062,                 1.8289,                 1.2348,                 1.4515,             0.00063846,             0.00063846,             0.00063846
                     42,                   1.55,                 1.5362,                 1.4067,                0.84476,                0.86706,                0.88336,                0.41552,                 1.7368,                 1.2139,                 1.4046,             0.00063703,             0.00063703,             0.00063703
                     43,                 1.5247,                  1.546,                  1.419,                0.85784,                0.87309,                 0.8821,                0.39255,                 1.8109,                 1.1852,                 1.4286,             0.00063558,             0.00063558,             0.00063558
                     44,                 1.5207,                 1.5196,                 1.3803,                0.84899,                0.86962,                0.88971,                0.42166,                 1.7317,                 1.1866,                 1.4182,             0.00063409,             0.00063409,             0.00063409
                     45,                  1.549,                 1.5511,                 1.4155,                0.87931,                0.88258,                0.89784,                0.41808,                 1.7639,                 1.1581,                 1.4273,             0.00063257,             0.00063257,             0.00063257
                     46,                 1.5439,                 1.5155,                 1.4269,                0.89126,                0.89433,                0.91002,                 0.4305,                 1.7352,                 1.1365,                 1.4232,             0.00063101,             0.00063101,             0.00063101
                     47,                 1.5594,                 1.5479,                 1.4232,                0.89557,                0.90238,                0.92297,                0.45685,                 1.6581,                 1.1407,                  1.397,             0.00062943,             0.00062943,             0.00062943
                     48,                 1.5642,                 1.5327,                 1.4138,                0.88777,                0.90084,                0.91931,                0.44033,                 1.7104,                 1.1422,                 1.3989,             0.00062781,             0.00062781,             0.00062781
                     49,                  1.549,                  1.509,                 1.4137,                0.89127,                 0.8975,                0.90379,                0.41895,                 1.7949,                 1.1302,                 1.4347,             0.00062616,             0.00062616,             0.00062616
                     50,                 1.5485,                 1.5157,                   1.42,                0.88669,                0.88194,                0.90501,                0.44106,                 1.7263,                 1.1213,                 1.4099,             0.00062448,             0.00062448,             0.00062448
