                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.61,                 4.3962,                 2.4954,                      0,                      0,                      0,                      0,                  2.488,                 4.1534,                 2.3351,              6.312e-05,              6.312e-05,              6.312e-05
                      2,                 2.1913,                 4.2348,                 2.2146,                0.07966,                0.04267,                0.04877,                0.02582,                 2.1673,                 4.1355,                 2.0128,              0.0001315,              0.0001315,              0.0001315
                      3,                 1.9768,                  3.986,                 2.0495,                0.03385,                0.40841,                0.11338,                0.04609,                 2.0031,                 4.0516,                 1.9073,             0.00019986,             0.00019986,             0.00019986
