                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1766,                 1.4656,                0.85891,                 1.2745,                0.96325,                0.98329,                0.97974,                0.61696,                0.89898,                0.91578,                0.91655,                0.55265,                 1.2673,                0.87943,                0.67315,                 1.2826,             0.00052329,             0.00052329,             0.00052329
                     25,                 1.1394,                 1.3382,                0.82162,                   1.25,                0.97776,                0.99206,                0.98745,                 0.6252,                0.91081,                0.92345,                0.92027,                0.56421,                 1.2316,                0.88468,                0.66226,                 1.2501,             0.00052305,             0.00052305,             0.00052305
                     26,                  1.156,                 1.3949,                0.81675,                 1.2673,                0.95778,                  0.992,                0.98312,                0.61827,                0.90184,                0.92851,                0.92422,                0.55901,                 1.2386,                0.90587,                0.67541,                 1.2612,             0.00052279,             0.00052279,             0.00052279
                     27,                 1.1502,                 1.3925,                0.78733,                 1.2709,                0.95577,                0.98627,                 0.9769,                0.60296,                 0.9098,                0.92804,                0.92465,                0.55559,                 1.2867,                0.79581,                0.67045,                 1.2718,             0.00052253,             0.00052253,             0.00052253
                     28,                 1.1737,                 1.4096,                0.81827,                 1.2756,                0.94422,                0.98503,                0.97902,                0.61477,                0.90234,                 0.9222,                0.91702,                0.55694,                 1.2826,                 0.9033,                0.68082,                 1.2949,             0.00052226,             0.00052226,             0.00052226
                     29,                  1.136,                 1.3524,                0.78957,                  1.266,                0.96148,                0.97466,                0.98002,                 0.6258,                0.89776,                0.91957,                0.92158,                0.55755,                 1.2571,                0.82246,                0.66368,                 1.2405,             0.00052198,             0.00052198,             0.00052198
                     30,                 1.1037,                   1.39,                0.77107,                 1.2329,                0.95693,                0.97534,                0.97911,                0.63046,                0.87556,                0.90367,                0.89598,                0.54328,                 1.2044,                0.97307,                0.67354,                 1.2242,             0.00052169,             0.00052169,             0.00052169
                     31,                 1.0999,                 1.3738,                0.78057,                 1.2356,                 0.9685,                0.98456,                   0.98,                 0.6325,                0.89758,                0.91188,                0.90498,                0.54245,                 1.2192,                 0.9533,                0.64701,                  1.233,             0.00052139,             0.00052139,             0.00052139
                     32,                 1.0976,                 1.3693,                0.76047,                 1.2301,                0.95022,                 0.9884,                 0.9758,                0.62874,                 0.9067,                0.91959,                0.91608,                0.57214,                 1.1981,                0.85814,                0.63326,                 1.2318,             0.00052108,             0.00052108,             0.00052108
                     33,                  1.114,                 1.3468,                0.77645,                 1.2313,                0.97643,                0.99552,                0.98813,                 0.6318,                0.90081,                0.91458,                0.90715,                0.53712,                 1.1806,                 0.8431,                0.60772,                   1.23,             0.00052075,             0.00052075,             0.00052075
                     34,                 1.0719,                 1.2915,                0.72908,                 1.2146,                0.96279,                0.98767,                0.98942,                0.63976,                0.91246,                0.92229,                0.92258,                0.57496,                 1.1694,                0.78874,                0.62469,                 1.1968,             0.00052042,             0.00052042,             0.00052042
                     35,                 1.0812,                 1.3309,                0.74328,                 1.2194,                0.96821,                0.97942,                0.98565,                 0.6346,                0.90607,                0.91357,                0.91722,                0.55107,                 1.1901,                0.83097,                0.62614,                 1.2354,             0.00052008,             0.00052008,             0.00052008
                     36,                 1.0704,                 1.3041,                0.72206,                 1.2174,                0.94927,                0.98762,                0.98719,                0.62966,                0.89799,                0.92356,                0.92523,                0.55734,                 1.2042,                0.82651,                  0.632,                 1.2182,             0.00051973,             0.00051973,             0.00051973
                     37,                 1.0872,                 1.3711,                0.73013,                 1.2263,                0.97263,                0.98791,                0.98847,                0.62237,                0.91074,                0.92181,                0.92271,                0.55804,                 1.2606,                0.82121,                0.63503,                 1.2421,             0.00051937,             0.00051937,             0.00051937
                     38,                 1.0822,                 1.3373,                0.74107,                 1.2156,                0.98006,                0.99267,                0.99094,                0.63304,                0.91471,                0.91924,                0.91837,                 0.5662,                 1.2125,                0.77844,                0.60141,                 1.2345,               0.000519,               0.000519,               0.000519
