                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.77114,                0.99923,                0.48517,                 1.0524,                0.98321,                0.99899,                0.99113,                0.70224,                 0.9115,                0.92092,                 0.9192,                 0.6462,                0.96996,                0.77387,                0.43757,                 1.1138,             0.00046308,             0.00046308,             0.00046308
                    115,                0.78265,                 1.0142,                0.48437,                 1.0491,                 0.9816,                0.99333,                0.98763,                0.72032,                0.91612,                 0.9207,                0.92245,                0.65835,                0.91918,                0.86812,                0.42644,                 1.0774,             0.00046201,             0.00046201,             0.00046201
                    116,                0.75788,                0.97173,                0.48303,                 1.0374,                0.97982,                0.99182,                0.98345,                0.72194,                0.91655,                0.92213,                0.92307,                0.64722,                0.92544,                0.79097,                0.43036,                  1.063,             0.00046094,             0.00046094,             0.00046094
                    117,                0.75727,                 1.0108,                0.47504,                 1.0428,                 0.9791,                0.99825,                0.98983,                0.71879,                 0.9146,                0.92718,                 0.9226,                0.65025,                0.92983,                 0.7958,                 0.4388,                 1.0715,             0.00045985,             0.00045985,             0.00045985
                    118,                0.75966,                 1.0812,                0.48509,                 1.0369,                0.97741,                0.99344,                0.98851,                0.71188,                0.91396,                0.92525,                0.92431,                0.64438,                0.95061,                0.80978,                0.43808,                 1.0793,             0.00045876,             0.00045876,             0.00045876
                    119,                0.77186,                 1.0277,                0.49084,                 1.0395,                0.98018,                0.99468,                0.98687,                0.70341,                 0.9076,                0.91953,                0.91489,                0.63768,                0.92932,                0.79188,                0.42851,                 1.0728,             0.00045766,             0.00045766,             0.00045766
                    120,                0.74349,                 1.0277,                0.48645,                 1.0346,                0.97564,                0.99487,                0.98744,                0.71577,                0.90585,                0.91477,                0.90791,                0.64394,                0.90814,                0.74867,                0.43116,                 1.0722,             0.00045655,             0.00045655,             0.00045655
                    121,                0.76014,                0.98216,                0.46826,                 1.0452,                0.97748,                0.99075,                0.98262,                 0.7161,                0.90569,                0.91357,                 0.9069,                0.63195,                0.91493,                 0.7763,                0.42995,                 1.0726,             0.00045543,             0.00045543,             0.00045543
                    122,                0.79356,                0.99955,                0.49621,                 1.0496,                0.97367,                0.98719,                0.97679,                0.71016,                 0.9134,                0.92058,                0.91513,                0.63177,                0.92561,                0.81386,                0.43142,                 1.0759,             0.00045431,             0.00045431,             0.00045431
                    123,                0.77166,                 1.0203,                0.48648,                 1.0335,                0.97445,                0.99118,                0.98239,                 0.6931,                0.90912,                 0.9181,                0.91082,                0.64082,                 1.0098,                0.80079,                0.45818,                 1.1086,             0.00045318,             0.00045318,             0.00045318
                    124,                0.76813,                 1.0176,                0.47918,                  1.047,                0.96922,                0.99065,                0.97555,                0.69996,                0.90774,                0.91881,                0.91145,                0.63434,                0.99535,                0.80383,                0.44627,                  1.119,             0.00045204,             0.00045204,             0.00045204
                    125,                0.75429,                 0.9676,                  0.479,                 1.0416,                0.96519,                0.98678,                0.97301,                0.69873,                0.90712,                0.91992,                 0.9129,                0.64495,                0.97752,                0.71364,                0.44335,                 1.0956,             0.00045089,             0.00045089,             0.00045089
                    126,                0.71216,                0.95335,                0.46194,                 1.0126,                0.97003,                0.98766,                0.97971,                0.71482,                0.91042,                0.92004,                0.91743,                0.64767,                0.94168,                0.78824,                0.43157,                 1.0749,             0.00044974,             0.00044974,             0.00044974
                    127,                0.71893,                0.96738,                0.45311,                 1.0115,                0.97166,                0.98706,                0.98162,                0.71596,                0.90926,                0.92136,                0.91903,                0.64454,                0.92452,                0.83055,                0.42181,                 1.0716,             0.00044858,             0.00044858,             0.00044858
                    128,                0.73048,                 0.9834,                0.45915,                 1.0237,                0.97348,                0.98403,                0.98028,                0.70873,                0.90781,                0.91978,                 0.9156,                 0.6455,                0.92326,                0.85516,                0.42116,                 1.0857,             0.00044741,             0.00044741,             0.00044741
                    129,                0.72186,                0.96804,                0.46129,                 1.0231,                0.98043,                0.99314,                0.98479,                0.70298,                0.90867,                0.91611,                0.90859,                0.63069,                0.94947,                0.83879,                0.43371,                 1.0837,             0.00044624,             0.00044624,             0.00044624
                    130,                0.73474,                0.96996,                0.47612,                 1.0295,                0.98326,                0.99433,                0.98894,                0.70322,                0.90193,                 0.9074,                0.89985,                0.62981,                 0.9655,                0.86491,                0.43302,                 1.0932,             0.00044505,             0.00044505,             0.00044505
                    131,                0.72452,                0.92577,                0.46416,                 1.0188,                0.98167,                0.99036,                0.98907,                0.71544,                0.91314,                0.92027,                0.91522,                 0.6386,                0.94453,                 0.7322,                 0.4279,                  1.072,             0.00044387,             0.00044387,             0.00044387
                    132,                0.71559,                0.99091,                0.45318,                 1.0234,                0.97835,                0.99121,                 0.9874,                0.71622,                0.92031,                0.92343,                0.92036,                0.64628,                0.94151,                 0.7518,                0.43479,                 1.0712,             0.00044267,             0.00044267,             0.00044267
                    133,                0.73531,                  1.025,                0.45711,                 1.0302,                0.97721,                0.99372,                0.98462,                0.70756,                0.91355,                0.92219,                0.91558,                0.63803,                0.97946,                0.81396,                0.43468,                 1.1033,             0.00044147,             0.00044147,             0.00044147
                    134,                0.73829,                0.96087,                0.45912,                 1.0221,                0.97421,                0.98893,                0.98327,                0.70718,                0.90715,                0.90866,                0.90409,                0.61535,                0.94859,                0.92031,                0.42689,                 1.1021,             0.00044026,             0.00044026,             0.00044026
                    135,                0.72545,                0.95016,                 0.4567,                 1.0265,                0.97775,                0.99875,                0.98831,                0.70915,                 0.9151,                0.92055,                0.91803,                0.65022,                0.95021,                0.81717,                0.42464,                 1.0878,             0.00043904,             0.00043904,             0.00043904
                    136,                0.73563,                  1.005,                0.46934,                 1.0186,                0.97311,                 0.9929,                0.98221,                0.72424,                0.90398,                0.91228,                0.90688,                0.64906,                0.88891,                0.88476,                0.40958,                  1.064,             0.00043782,             0.00043782,             0.00043782
                    137,                0.72582,                0.97552,                0.46638,                 1.0154,                0.97548,                 0.9957,                0.98574,                 0.7256,                0.90625,                0.91367,                0.90932,                0.64713,                0.88137,                0.89176,                0.40595,                 1.0549,             0.00043659,             0.00043659,             0.00043659
                    138,                0.71995,                0.95334,                0.45523,                 1.0246,                0.97877,                0.99718,                0.99127,                0.71578,                 0.9138,                0.92137,                0.92078,                  0.647,                0.93536,                0.77334,                0.42248,                  1.071,             0.00043535,             0.00043535,             0.00043535
                    139,                0.70655,                0.91716,                0.45349,                 1.0108,                0.97932,                0.98941,                0.98557,                0.71474,                0.91162,                0.91722,                0.91773,                0.64195,                0.91728,                   0.79,                 0.4272,                 1.0745,              0.0004341,              0.0004341,              0.0004341
                    140,                0.71012,                0.99489,                0.45656,                 1.0193,                0.98335,                0.98881,                0.98542,                0.70081,                0.92099,                0.92134,                 0.9217,                 0.6492,                 1.0091,                0.79279,                0.43783,                 1.1033,             0.00043285,             0.00043285,             0.00043285
                    141,                0.70415,                0.94328,                0.44891,                 1.0144,                0.98687,                0.99387,                0.99125,                0.70487,                0.91656,                0.92439,                0.92307,                0.65658,                0.99176,                0.79791,                0.44082,                 1.0895,              0.0004316,              0.0004316,              0.0004316
                    142,                0.71312,                0.96182,                0.45482,                 1.0114,                0.98111,                0.99347,                 0.9878,                0.70653,                0.90943,                 0.9135,                0.91246,                0.65159,                0.98635,                0.81975,                0.43318,                  1.108,             0.00043033,             0.00043033,             0.00043033
                    143,                0.70952,                0.95988,                0.44807,                 1.0193,                0.98719,                0.99534,                0.99108,                0.70471,                0.91436,                0.91945,                0.91904,                0.64712,                0.99463,                0.81861,                0.43379,                 1.1102,             0.00042906,             0.00042906,             0.00042906
                    144,                0.70919,                0.95297,                0.45572,                 1.0171,                0.97634,                0.99629,                0.98539,                0.71972,                0.91778,                0.92209,                0.91972,                0.64972,                0.95974,                0.83301,                0.43528,                 1.0936,             0.00042779,             0.00042779,             0.00042779
                    145,                0.69655,                0.94306,                0.44514,                 1.0129,                0.98379,                0.99674,                 0.9905,                0.71714,                0.91825,                0.92544,                0.92138,                0.65126,                0.92706,                0.86423,                0.42018,                 1.0761,              0.0004265,              0.0004265,              0.0004265
                    146,                0.68976,                0.92255,                 0.4457,                 1.0061,                0.97587,                0.99254,                0.98809,                0.69859,                0.90844,                 0.9187,                0.91653,                0.63407,                0.94704,                0.81579,                 0.4303,                 1.0765,             0.00042521,             0.00042521,             0.00042521
                    147,                0.71352,                0.95247,                0.44948,                 1.0121,                0.97932,                0.99374,                0.99111,                0.70933,                 0.9115,                0.91842,                0.91579,                0.63994,                0.92663,                0.76563,                0.41977,                 1.0849,             0.00042392,             0.00042392,             0.00042392
                    148,                0.69016,                0.92646,                0.44442,                 1.0074,                0.98116,                      1,                0.99198,                0.71731,                0.91294,                  0.924,                0.91988,                0.64155,                0.90896,                0.76019,                0.41634,                 1.0818,             0.00042261,             0.00042261,             0.00042261
                    149,                 0.7057,                0.95949,                0.44345,                  1.011,                0.97491,                0.99684,                0.98853,                0.71696,                0.91143,                0.92489,                0.92054,                0.66744,                0.92525,                0.77844,                0.42662,                 1.0911,             0.00042131,             0.00042131,             0.00042131
                    150,                0.70073,                0.96106,                0.45441,                 1.0102,                0.97768,                0.99511,                0.99042,                0.71819,                0.90929,                0.91618,                0.91761,                0.65595,                0.94714,                0.77841,                0.42594,                 1.0893,             0.00041999,             0.00041999,             0.00041999
                    151,                0.71173,                 0.9154,                0.45501,                 1.0093,                0.96974,                0.99208,                0.98274,                0.72109,                0.90188,                0.91273,                0.90797,                0.65309,                0.88268,                0.81498,                0.41726,                 1.0616,             0.00041867,             0.00041867,             0.00041867
                    152,                0.68831,                 0.9515,                0.44448,                 1.0022,                0.97085,                0.99142,                0.98002,                0.70652,                0.90792,                 0.9223,                0.91476,                0.66645,                0.94027,                0.76649,                0.43546,                  1.075,             0.00041735,             0.00041735,             0.00041735
                    153,                0.69687,                0.93725,                0.45139,                0.99816,                0.97146,                0.99117,                0.97958,                0.72146,                0.90647,                0.91937,                0.91066,                0.65416,                0.88443,                0.77482,                0.41965,                   1.06,             0.00041601,             0.00041601,             0.00041601
                    154,                0.72543,                0.92874,                0.46038,                 1.0084,                0.97581,                0.99353,                0.98238,                0.73231,                0.90829,                 0.9163,                0.90754,                0.63676,                 0.8409,                0.82762,                0.41069,                 1.0594,             0.00041467,             0.00041467,             0.00041467
                    155,                0.70665,                0.93682,                0.44763,                 1.0107,                0.97985,                0.99912,                0.99154,                0.71329,                0.91752,                0.92639,                0.92415,                0.67113,                0.95589,                0.77405,                0.43402,                  1.082,             0.00041333,             0.00041333,             0.00041333
                    156,                0.70081,                0.93532,                0.45392,                 1.0115,                0.98269,                0.99819,                0.99052,                0.72073,                0.90582,                0.91549,                0.91055,                0.64461,                0.94007,                0.87656,                0.42367,                 1.0828,             0.00041198,             0.00041198,             0.00041198
                    157,                 0.6842,                0.89192,                0.43389,                0.99629,                0.98178,                0.99507,                0.98692,                0.73037,                0.91533,                0.92331,                0.91799,                0.66646,                0.92626,                0.84577,                0.41652,                 1.0692,             0.00041062,             0.00041062,             0.00041062
                    158,                0.69449,                0.96974,                0.44591,                0.99801,                0.98642,                0.99695,                 0.9909,                0.73351,                0.92284,                0.92744,                0.92435,                 0.6734,                0.92037,                0.84859,                0.41121,                 1.0698,             0.00040926,             0.00040926,             0.00040926
                    159,                0.66414,                0.94789,                0.42931,                0.99048,                0.98107,                 0.9924,                0.98449,                0.73133,                0.91796,                0.92282,                0.91733,                0.67017,                0.95132,                0.80641,                0.42216,                 1.0798,             0.00040789,             0.00040789,             0.00040789
                    160,                0.66031,                0.97586,                0.43492,                0.99175,                0.98149,                0.98991,                0.98416,                0.72646,                0.91887,                0.92274,                0.91893,                0.65229,                0.91499,                 0.8992,                0.42102,                 1.0713,             0.00040652,             0.00040652,             0.00040652
                    161,                0.65455,                 0.9365,                0.41786,                0.99457,                0.98163,                0.98894,                0.98378,                0.72042,                0.91057,                0.91761,                0.91087,                0.66465,                0.94788,                0.82193,                0.41579,                  1.071,             0.00040514,             0.00040514,             0.00040514
                    162,                0.65593,                0.89612,                0.42523,                0.98589,                0.98143,                0.99237,                0.98297,                 0.7254,                0.91533,                0.92026,                 0.9151,                  0.664,                0.91859,                0.88175,                0.40434,                 1.0833,             0.00040376,             0.00040376,             0.00040376
                    163,                0.67867,                0.92125,                0.42982,                 0.9943,                  0.984,                0.99364,                0.98918,                0.72051,                0.91769,                0.92264,                0.91972,                0.66731,                0.93955,                0.86308,                 0.4151,                 1.0826,             0.00040237,             0.00040237,             0.00040237
                    164,                 0.6405,                 0.8836,                0.41686,                0.98466,                0.98156,                0.99153,                0.98509,                0.71695,                0.91708,                0.92288,                0.92178,                0.67434,                0.91964,                0.87793,                0.41141,                 1.0751,             0.00040097,             0.00040097,             0.00040097
                    165,                0.67237,                0.90068,                0.43475,                0.99172,                0.97981,                0.98825,                0.98571,                0.71857,                0.90808,                0.91538,                0.91456,                0.65213,                0.91377,                0.86711,                0.40883,                 1.0775,             0.00039957,             0.00039957,             0.00039957
                    166,                0.64897,                0.89969,                 0.4225,                0.98576,                0.98035,                0.98911,                0.98562,                0.72127,                0.91759,                0.91978,                0.92204,                0.65812,                0.89396,                0.86515,                0.39776,                  1.078,             0.00039817,             0.00039817,             0.00039817
                    167,                 0.6852,                0.88083,                0.43049,                 0.9935,                0.97888,                0.98967,                0.98685,                 0.7185,                0.91229,                0.91809,                0.91983,                0.65917,                0.94057,                0.84956,                0.41041,                  1.092,             0.00039676,             0.00039676,             0.00039676
                    168,                0.66618,                0.91498,                0.42812,                 0.9893,                 0.9856,                 0.9951,                0.99089,                0.71763,                0.90839,                0.91254,                0.91108,                0.65689,                0.93544,                0.91794,                0.40998,                 1.0867,             0.00039534,             0.00039534,             0.00039534
                    169,                0.66551,                0.92371,                0.43163,                0.99153,                0.98467,                0.99761,                0.99063,                0.70442,                0.91584,                0.92312,                0.92224,                0.65728,                0.99567,                0.85113,                0.42561,                 1.1003,             0.00039392,             0.00039392,             0.00039392
                    170,                0.68699,                0.87213,                0.42563,                0.99385,                0.98262,                0.99888,                0.98972,                0.71049,                0.91449,                0.92438,                0.92137,                0.65453,                0.98168,                0.90907,                0.41941,                 1.1152,              0.0003925,              0.0003925,              0.0003925
                    171,                0.67401,                0.89346,                0.43108,                0.99867,                0.98258,                0.99733,                0.98744,                0.72669,                0.90842,                0.91733,                0.91366,                0.63986,                 0.8975,                0.99194,                0.40185,                 1.0904,             0.00039106,             0.00039106,             0.00039106
                    172,                0.66359,                 0.9364,                0.42129,                0.98341,                0.98109,                0.99498,                0.98697,                0.72237,                0.91669,                0.92224,                0.92275,                 0.6683,                0.92828,                0.80857,                 0.4042,                 1.0666,             0.00038963,             0.00038963,             0.00038963
                    173,                0.66321,                0.87051,                0.42222,                0.99008,                0.98324,                0.99286,                0.98768,                0.72864,                0.91497,                0.91821,                0.91959,                0.64294,                0.87659,                0.91546,                0.39393,                 1.0562,             0.00038819,             0.00038819,             0.00038819
                    174,                0.67649,                0.89817,                0.42799,                0.98494,                0.98374,                0.99684,                0.98906,                0.71356,                0.91373,                0.92301,                0.92098,                0.65346,                 0.9579,                0.82159,                0.41323,                 1.0858,             0.00038674,             0.00038674,             0.00038674
                    175,                 0.6473,                0.91154,                0.40747,                0.98183,                0.98047,                0.99725,                0.98552,                0.71372,                0.91674,                0.92518,                0.92222,                 0.6685,                0.97535,                0.79708,                0.41263,                 1.0895,             0.00038529,             0.00038529,             0.00038529
                    176,                  0.671,                0.89265,                0.41891,                0.98558,                 0.9778,                0.99603,                0.98906,                0.73358,                0.91336,                0.92139,                0.91947,                0.65411,                0.87309,                0.83912,                0.39032,                  1.064,             0.00038384,             0.00038384,             0.00038384
                    177,                 0.6584,                 0.8491,                0.42273,                0.98545,                0.96667,                0.99165,                0.98179,                0.72526,                0.91116,                 0.9194,                0.91391,                0.65641,                0.87824,                0.86156,                0.39263,                 1.0586,             0.00038238,             0.00038238,             0.00038238
                    178,                0.63577,                0.86209,                0.41059,                0.97767,                0.97792,                0.99251,                0.98436,                 0.7146,                0.91446,                0.92197,                0.91678,                0.67148,                0.93987,                0.79907,                0.41346,                 1.0704,             0.00038091,             0.00038091,             0.00038091
                    179,                0.63824,                0.87892,                0.40853,                0.98124,                0.97976,                0.99358,                0.98474,                0.72668,                0.90939,                 0.9154,                0.91352,                0.65927,                 0.9125,                 0.8213,                0.40344,                 1.0705,             0.00037944,             0.00037944,             0.00037944
                    180,                0.61504,                0.90144,                0.40338,                0.97893,                0.98231,                0.99546,                0.98816,                0.73148,                0.91781,                0.92313,                0.92063,                0.66674,                0.90415,                0.84171,                0.39998,                 1.0663,             0.00037797,             0.00037797,             0.00037797
                    181,                0.63693,                0.83625,                0.40677,                0.98282,                0.98607,                0.99666,                0.99052,                0.72523,                0.92003,                0.92454,                 0.9225,                0.66879,                0.92546,                0.78602,                0.41692,                  1.083,             0.00037649,             0.00037649,             0.00037649
                    182,                0.64006,                0.88436,                0.41387,                0.98068,                0.98515,                0.99859,                0.99063,                0.72958,                0.92073,                 0.9304,                0.92571,                0.67111,                0.89944,                0.88147,                0.40462,                 1.0734,             0.00037501,             0.00037501,             0.00037501
                    183,                0.64024,                0.86858,                0.41332,                0.98415,                0.98614,                 0.9952,                0.99056,                0.71377,                0.91538,                 0.9217,                0.91726,                0.67423,                0.95901,                0.80813,                 0.4206,                  1.081,             0.00037352,             0.00037352,             0.00037352
                    184,                 0.6478,                0.86597,                0.41605,                0.97823,                 0.9842,                      1,                0.99085,                0.72488,                 0.9169,                   0.92,                0.91819,                0.66778,                0.92417,                0.80795,                0.40826,                  1.066,             0.00037203,             0.00037203,             0.00037203
                    185,                0.61624,                0.82818,                0.40098,                 0.9707,                0.98036,                0.99443,                0.98852,                0.73079,                0.92002,                0.92712,                0.92524,                0.66992,                0.90998,                0.84253,                0.39869,                 1.0658,             0.00037053,             0.00037053,             0.00037053
                    186,                0.62647,                0.85759,                0.40638,                0.98231,                0.98167,                0.99327,                0.98826,                0.73426,                 0.9132,                0.91962,                0.91803,                0.67052,                0.89802,                0.84768,                0.40016,                  1.067,             0.00036904,             0.00036904,             0.00036904
                    187,                0.63151,                0.86474,                0.41227,                0.97422,                 0.9833,                 0.9965,                0.98825,                0.73154,                0.91824,                0.92667,                0.92308,                0.66705,                0.88455,                0.91737,                0.40088,                 1.0641,             0.00036753,             0.00036753,             0.00036753
                    188,                 0.6252,                0.88017,                 0.4058,                0.98025,                0.97834,                0.99266,                0.98363,                0.72813,                0.91696,                0.92533,                0.91766,                0.65143,                0.90254,                0.88968,                0.39523,                 1.0734,             0.00036602,             0.00036602,             0.00036602
                    189,                0.63562,                0.88263,                0.40373,                0.98304,                0.97979,                0.99317,                0.98531,                0.72002,                0.91677,                0.92106,                0.91687,                0.66425,                0.95239,                 0.8678,                0.39989,                 1.0995,             0.00036451,             0.00036451,             0.00036451
                    190,                0.63947,                0.86704,                0.41261,                0.97403,                0.98357,                0.99343,                0.98554,                0.72997,                0.91438,                0.91743,                0.91356,                0.66325,                0.91514,                 0.9371,                0.39652,                 1.0924,               0.000363,               0.000363,               0.000363
                    191,                0.61464,                0.84051,                0.39633,                0.96842,                0.98625,                0.99733,                0.98848,                0.73762,                0.91773,                0.92267,                0.91772,                0.67233,                0.89094,                0.87152,                0.38966,                 1.0783,             0.00036148,             0.00036148,             0.00036148
                    192,                0.61651,                0.80876,                0.39797,                0.96454,                0.98452,                0.99396,                 0.9866,                0.73896,                0.91962,                0.92423,                0.92048,                0.67979,                0.88189,                 0.7747,                0.39464,                 1.0528,             0.00035996,             0.00035996,             0.00035996
                    193,                0.62121,                0.85242,                0.40193,                0.97554,                0.98451,                0.99475,                0.98778,                0.73371,                0.92496,                0.93067,                0.92544,                0.68591,                0.88931,                0.79926,                0.39274,                 1.0626,             0.00035843,             0.00035843,             0.00035843
                    194,                0.62666,                0.87914,                0.41482,                0.97318,                0.98475,                0.99426,                 0.9864,                0.73123,                0.92396,                0.92769,                0.92193,                0.66953,                0.90117,                 0.8348,                0.39861,                 1.0712,              0.0003569,              0.0003569,              0.0003569
                    195,                0.60902,                0.76499,                0.39691,                0.97592,                0.98331,                0.99651,                0.98666,                 0.7425,                0.92317,                0.92733,                0.92159,                   0.68,                0.86774,                0.85676,                0.38764,                 1.0458,             0.00035536,             0.00035536,             0.00035536
                    196,                0.61133,                0.87137,                0.40489,                0.96787,                0.98204,                0.99686,                0.98681,                0.73547,                0.91973,                0.92667,                0.91962,                0.67381,                0.88412,                 0.8237,                0.38924,                 1.0474,             0.00035383,             0.00035383,             0.00035383
                    197,                0.61794,                0.81394,                0.39776,                0.96515,                0.98014,                0.99733,                0.98712,                0.73936,                0.91862,                0.92533,                0.91805,                0.65189,                0.82802,                0.89306,                0.37154,                 1.0463,             0.00035229,             0.00035229,             0.00035229
                    198,                0.63083,                0.87137,                0.40417,                0.97247,                0.98311,                0.99537,                0.98731,                0.73433,                0.91816,                0.92193,                0.91744,                0.63804,                0.84418,                 0.9217,                0.37926,                 1.0619,             0.00035074,             0.00035074,             0.00035074
                    199,                0.64376,                 0.8484,                0.39816,                0.97209,                 0.9826,                0.99733,                0.98801,                0.71978,                0.92297,                  0.928,                0.92041,                0.67122,                0.92556,                0.80399,                  0.397,                 1.0682,             0.00034919,             0.00034919,             0.00034919
                    200,                  0.625,                0.92023,                0.41253,                0.97117,                0.98038,                0.99347,                  0.989,                0.73939,                0.92024,                 0.9239,                0.91991,                0.65366,                0.87045,                0.90452,                0.38381,                 1.0647,             0.00034764,             0.00034764,             0.00034764
                    201,                0.60942,                0.82908,                0.39565,                0.96517,                0.97234,                 0.9913,                0.98665,                0.72983,                0.92257,                0.92633,                0.92343,                 0.6492,                0.89649,                0.91579,                0.39764,                 1.0843,             0.00034609,             0.00034609,             0.00034609
                    202,                0.62701,                0.87751,                 0.4107,                0.97147,                0.97409,                0.99154,                0.98666,                0.72145,                0.92571,                0.92832,                0.92611,                0.67508,                0.92948,                0.83812,                0.40831,                 1.0958,             0.00034453,             0.00034453,             0.00034453
                    203,                0.61028,                0.84597,                 0.4032,                0.96149,                0.98254,                0.99645,                0.98728,                0.72861,                0.92472,                0.92893,                 0.9246,                0.66833,                 0.8828,                0.86911,                0.38453,                  1.078,             0.00034297,             0.00034297,             0.00034297
                    204,                0.61178,                0.89187,                0.40144,                0.97239,                0.98214,                0.99392,                0.98862,                0.72887,                0.91603,                0.91838,                0.91618,                0.65755,                0.89482,                0.89568,                0.39194,                 1.0807,             0.00034141,             0.00034141,             0.00034141
                    205,                0.59645,                0.85515,                0.39218,                0.95999,                0.98551,                0.99731,                0.98932,                0.72807,                0.92015,                0.92477,                 0.9228,                0.65982,                0.90099,                0.93283,                0.39543,                 1.0723,             0.00033984,             0.00033984,             0.00033984
                    206,                0.59687,                0.82586,                0.39183,                0.96419,                0.98292,                0.99692,                0.98878,                0.73788,                0.91719,                0.92502,                0.92169,                0.65982,                0.89644,                0.90088,                0.38417,                 1.0664,             0.00033827,             0.00033827,             0.00033827
                    207,                0.60956,                0.86524,                0.39998,                0.96793,                0.98151,                0.99663,                0.98762,                0.73052,                0.91631,                0.92469,                0.92034,                0.65573,                0.91186,                0.90986,                0.38715,                 1.0716,              0.0003367,              0.0003367,              0.0003367
