                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.61,                 4.3962,                 2.4954,                      0,                      0,                      0,                      0,                  2.488,                 4.1534,                 2.3351,              6.312e-05,              6.312e-05,              6.312e-05
                      2,                 2.1915,                 4.2354,                 2.2134,                0.01321,                0.03867,                0.01456,                 0.0049,                 2.1798,                 4.1352,                 2.0242,              0.0001315,              0.0001315,              0.0001315
                      3,                 1.9848,                 3.9858,                 2.0549,                0.03497,                0.40462,                0.11757,                0.04708,                 1.9911,                 4.0571,                 1.9059,             0.00019988,             0.00019988,             0.00019988
                      4,                 1.8408,                 3.5999,                 1.9037,                0.03598,                0.56497,                0.16297,                0.07139,                 1.9173,                 3.7476,                 1.8375,             0.00026826,             0.00026826,             0.00026826
                      5,                 1.8295,                 3.3197,                 1.9185,                0.73334,                0.15084,                0.24082,                0.09671,                 2.0591,                 3.4572,                 1.9043,             0.00033664,             0.00033664,             0.00033664
                      6,                 1.8047,                 3.0737,                 1.8586,                0.81258,                0.16657,                0.28814,                0.13064,                 1.9544,                 3.0918,                 1.8079,             0.00040502,             0.00040502,             0.00040502
                      7,                 1.7232,                 2.8537,                 1.8046,                0.52093,                0.24156,                0.33646,                0.15423,                 1.9344,                 2.6974,                  1.769,              0.0004734,              0.0004734,              0.0004734
                      8,                 1.7242,                 2.7148,                 1.7883,                0.46225,                0.27069,                0.30774,                0.13619,                 2.0836,                 2.6994,                  1.835,             0.00052599,             0.00052599,             0.00052599
                      9,                 1.7211,                 2.6163,                 1.7907,                0.35943,                0.37166,                0.34374,                0.15002,                 2.1408,                 2.5145,                 1.8522,             0.00052599,             0.00052599,             0.00052599
                     10,                 1.6995,                 2.4866,                 1.7749,                0.37443,                0.41327,                0.39807,                0.17302,                 2.0908,                 2.3825,                 1.8237,             0.00052599,             0.00052599,             0.00052599
                     11,                 1.6979,                 2.4386,                 1.7511,                0.41813,                0.51247,                 0.4638,                0.20303,                 1.9824,                 2.2822,                  1.788,             0.00052599,             0.00052599,             0.00052599
                     12,                 1.7115,                 2.3381,                 1.7547,                0.53621,                0.50782,                0.51466,                0.22028,                 2.0385,                 2.3549,                 1.8591,             0.00052598,             0.00052598,             0.00052598
                     13,                 1.6616,                 2.3195,                 1.7257,                0.53504,                0.56462,                0.56357,                0.25633,                 1.9256,                 2.3288,                 1.7897,             0.00052598,             0.00052598,             0.00052598
                     14,                 1.6783,                 2.3016,                 1.7453,                0.47331,                0.57005,                0.55586,                0.25537,                 1.9103,                 2.0383,                 1.7462,             0.00052598,             0.00052598,             0.00052598
                     15,                 1.6815,                 2.2281,                 1.7596,                0.55741,                0.60079,                0.58551,                0.26608,                 1.9305,                 1.9315,                 1.7362,             0.00052597,             0.00052597,             0.00052597
                     16,                 1.6068,                 2.0569,                 1.6812,                0.57985,                0.61673,                0.62721,                0.29077,                 1.8667,                 1.8746,                 1.6907,             0.00052597,             0.00052597,             0.00052597
                     17,                 1.6215,                 2.0748,                 1.6936,                0.66518,                0.60788,                0.66129,                0.31576,                 1.8713,                 1.6931,                 1.6835,             0.00052596,             0.00052596,             0.00052596
                     18,                 1.6427,                 2.0698,                 1.7089,                0.69545,                0.60059,                0.68042,                0.30288,                 1.9422,                 1.6805,                 1.7303,             0.00052596,             0.00052596,             0.00052596
                     19,                 1.5982,                 1.9517,                 1.6526,                0.71886,                0.62825,                0.68785,                0.30533,                 1.9341,                 1.6833,                 1.7459,             0.00052595,             0.00052595,             0.00052595
                     20,                 1.5215,                 1.8535,                 1.5996,                0.70769,                0.64923,                0.72754,                0.34237,                 1.8718,                 1.5869,                 1.7127,             0.00052595,             0.00052595,             0.00052595
                     21,                 1.5604,                 1.9034,                  1.632,                0.70708,                0.63872,                0.72472,                0.34057,                 1.8732,                 1.5619,                  1.719,             0.00052594,             0.00052594,             0.00052594
