                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0426,                 4.7705,                 2.6353,                0.00234,                0.04466,                0.00178,                 0.0005,                 2.8718,                 4.3291,                  2.529,              4.002e-05,              4.002e-05,              4.002e-05
                      2,                 2.8455,                 4.5884,                 2.5587,                 0.0063,                0.09187,                0.01699,                0.00545,                 2.5389,                 4.2216,                 2.1684,             8.6708e-05,             8.6708e-05,             8.6708e-05
                      3,                 2.4331,                 4.5036,                 2.2434,                0.00868,                0.19064,                0.02831,                0.00795,                 2.3307,                 4.1963,                  1.949,             0.00013339,             0.00013339,             0.00013339
                      4,                 2.1766,                 4.2504,                  2.066,                0.00962,                0.27381,                0.03362,                0.00868,                 2.2264,                 4.1626,                 1.8406,             0.00018005,             0.00018005,             0.00018005
                      5,                 2.0041,                 3.9485,                 1.8862,                0.01389,                0.31285,                0.05732,                0.01149,                 2.1808,                 4.1029,                 1.8162,             0.00022668,             0.00022668,             0.00022668
                      6,                 2.0451,                 3.8598,                 1.8672,                0.01681,                0.37532,                0.08595,                 0.0263,                 2.0511,                 3.9586,                 1.7447,             0.00027328,             0.00027328,             0.00027328
                      7,                 1.9588,                  3.568,                  1.813,                0.02193,                0.42468,                0.12382,                0.04231,                 1.9674,                 3.8581,                 1.6908,             0.00031985,             0.00031985,             0.00031985
                      8,                 1.9198,                 3.3987,                 1.7826,                0.02844,                 0.5365,                0.17375,                0.06666,                 1.9304,                 3.6535,                 1.6662,             0.00036636,             0.00036636,             0.00036636
                      9,                 1.9143,                 3.3609,                 1.7911,                0.03038,                0.54679,                0.16763,                0.06437,                 1.9751,                 3.5895,                 1.6804,             0.00041282,             0.00041282,             0.00041282
                     10,                 1.7875,                 3.0711,                 1.7089,                0.71789,                0.07229,                0.19235,                0.06311,                 2.0237,                 3.5719,                 1.7199,             0.00045922,             0.00045922,             0.00045922
                     11,                 1.8819,                 3.2239,                 1.7897,                0.63513,                0.15939,                0.19356,                0.06738,                 1.9726,                 3.4408,                 1.6975,             0.00050555,             0.00050555,             0.00050555
                     12,                 1.8679,                  3.061,                 1.7266,                0.65494,                 0.1655,                0.20536,                0.08016,                 1.9007,                   3.29,                 1.6415,             0.00055179,             0.00055179,             0.00055179
                     13,                 1.8604,                 3.0208,                 1.7457,                0.56285,                0.13048,                0.22716,                0.08434,                 1.9716,                 3.2401,                 1.6732,             0.00059796,             0.00059796,             0.00059796
                     14,                 1.8249,                 2.8378,                 1.6812,                0.56285,                0.13048,                0.22716,                0.08434,                 1.9716,                 3.2401,                 1.6732,             0.00064403,             0.00064403,             0.00064403
                     15,                 1.7925,                 2.8746,                 1.6872,                0.32221,                0.22834,                0.22612,                0.08146,                 2.0473,                 3.1553,                 1.7478,             0.00066346,             0.00066346,             0.00066346
                     16,                 1.8663,                 2.8157,                 1.7377,                0.24615,                0.26387,                0.19848,                0.06483,                 2.1267,                 3.1322,                 1.8235,             0.00066294,             0.00066294,             0.00066294
                     17,                   1.86,                 2.7331,                 1.6889,                0.35938,                0.35074,                0.30748,                0.10323,                  2.097,                 3.0015,                  1.722,             0.00066238,             0.00066238,             0.00066238
                     18,                 1.8189,                 2.7245,                 1.6078,                0.42445,                0.43416,                0.41029,                0.15652,                 1.9371,                 2.8519,                 1.6094,             0.00066178,             0.00066178,             0.00066178
                     19,                 1.8588,                 2.7092,                 1.6757,                0.47595,                0.42969,                0.41097,                0.16936,                 1.8397,                 2.6915,                 1.5437,             0.00066115,             0.00066115,             0.00066115
                     20,                  1.824,                 2.6727,                 1.6786,                0.48615,                0.43163,                0.41304,                0.16607,                 1.9102,                 2.6168,                 1.5725,             0.00066049,             0.00066049,             0.00066049
                     21,                 1.7636,                 2.6421,                 1.6705,                0.54041,                0.40358,                0.39866,                0.16331,                 2.0387,                 2.6155,                 1.6297,             0.00065979,             0.00065979,             0.00065979
                     22,                 1.7785,                 2.5322,                 1.6186,                0.54041,                0.40358,                0.39866,                0.16331,                 2.0387,                 2.6155,                 1.6297,             0.00065905,             0.00065905,             0.00065905
                     23,                 1.7726,                  2.645,                 1.6739,                0.45063,                0.46447,                0.44955,                0.18012,                 2.0027,                 2.7906,                 1.6329,             0.00065828,             0.00065828,             0.00065828
                     24,                 1.7429,                 2.5161,                 1.6552,                0.48664,                0.47146,                0.43999,                0.17712,                 2.0503,                  2.739,                 1.6488,             0.00065747,             0.00065747,             0.00065747
                     25,                 1.7713,                 2.5105,                 1.6821,                0.48847,                0.41627,                0.43466,                0.16254,                 2.0884,                 2.7113,                 1.6903,             0.00065663,             0.00065663,             0.00065663
                     26,                 1.7498,                 2.4968,                  1.659,                0.48857,                0.44378,                0.45455,                0.16303,                 2.0309,                 2.6198,                 1.6564,             0.00065575,             0.00065575,             0.00065575
                     27,                 1.7077,                 2.4529,                 1.5926,                0.48333,                0.41104,                0.45476,                0.18905,                 1.9123,                 2.4972,                 1.5792,             0.00065484,             0.00065484,             0.00065484
                     28,                  1.767,                 2.4314,                 1.6426,                0.53592,                0.47303,                0.48783,                0.21291,                 1.8972,                 2.5467,                 1.5815,             0.00065389,             0.00065389,             0.00065389
                     29,                 1.7327,                 2.4029,                 1.6008,                0.57176,                0.53739,                0.53291,                0.22676,                 1.9601,                 2.5162,                 1.6118,             0.00065291,             0.00065291,             0.00065291
                     30,                 1.7131,                  2.232,                 1.5521,                0.57176,                0.53739,                0.53291,                0.22676,                 1.9601,                 2.5162,                 1.6118,             0.00065189,             0.00065189,             0.00065189
                     31,                 1.7611,                 2.3998,                 1.5991,                0.63694,                0.39931,                0.47318,                0.19775,                 2.0295,                 2.5194,                 1.6489,             0.00065084,             0.00065084,             0.00065084
                     32,                  1.753,                 2.3218,                 1.5972,                0.48775,                0.44153,                0.47962,                0.20676,                 2.0152,                 2.4669,                 1.6296,             0.00064975,             0.00064975,             0.00064975
                     33,                 1.7073,                 2.2171,                 1.5331,                0.64685,                0.51238,                0.55709,                0.24608,                 1.9074,                 2.3223,                 1.5653,             0.00064864,             0.00064864,             0.00064864
                     34,                 1.7233,                 2.2163,                 1.5987,                0.69075,                0.55266,                0.59499,                0.25179,                  1.941,                 2.2305,                 1.5749,             0.00064748,             0.00064748,             0.00064748
                     35,                 1.7061,                 2.2952,                 1.6086,                0.66814,                0.54237,                0.59729,                0.23146,                 2.0442,                 2.2837,                 1.6165,             0.00064629,             0.00064629,             0.00064629
                     36,                 1.7167,                 2.1824,                 1.5825,                0.58223,                 0.6236,                0.62114,                0.25804,                 1.9641,                 2.1785,                   1.58,             0.00064507,             0.00064507,             0.00064507
                     37,                  1.733,                 2.2557,                 1.5881,                0.64742,                0.57146,                0.64403,                0.29288,                 1.8418,                 2.1059,                 1.5149,             0.00064381,             0.00064381,             0.00064381
                     38,                 1.6601,                 2.0837,                 1.5401,                0.64742,                0.57146,                0.64403,                0.29288,                 1.8418,                 2.1059,                 1.5149,             0.00064253,             0.00064253,             0.00064253
                     39,                 1.7506,                 2.2236,                 1.5852,                0.38962,                0.60727,                0.52875,                 0.2565,                 1.7505,                 2.2782,                 1.4721,              0.0006412,              0.0006412,              0.0006412
                     40,                 1.6786,                 2.1821,                 1.5915,                0.42422,                0.49891,                0.47113,                0.23473,                 1.7601,                 2.4069,                 1.4765,             0.00063985,             0.00063985,             0.00063985
                     41,                 1.6332,                 2.0688,                 1.5103,                0.52712,                0.50333,                0.52598,                0.24268,                 1.8009,                 2.2588,                 1.4896,             0.00063846,             0.00063846,             0.00063846
                     42,                 1.7384,                 2.1997,                 1.6146,                0.71636,                 0.4985,                0.58982,                0.27233,                 1.8273,                 2.2155,                 1.4966,             0.00063703,             0.00063703,             0.00063703
